B.A TAMIL,B.A ENGLISH,B.B.A,B.C.A,B.Com,B.Com ACCOUNTING AND FINANCE,B.Com With COMPUTER APPLICATIONS,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),B.Sc BIOCHEMISTRY,B.Sc COSTUME DESIGN AND FASHION,B.Sc CLINICAL LABORATORY TECHNOLOGY,B.Sc COMPUTER SCIENCE, B.Sc COMPUTER SCIENCE (CYBER SECURITY),B.Sc DATA SCIENCE,B.Sc INFORMATION TECHNOLOGY, B.Sc MICROBIOLOGY,B.Sc TEXTILE AND FASHION DESIGNING,B.Sc VISUAL COMMUNICATION
C23UG208TAM008,C23UG208ENG020,C23UG208BAD020,C23UG208CAP015,C23UG208COM015,C23UG208ACF018,C23UG208CCA019,C23UG208AID015,C23UG208BIC019,,C23UG208CLT017,C23UG208CSC015,,,C23UG208INT018,C23UG208MIB016,C23UG208TFD023,C23UG208VCN030
C23UG208TAM009,,C23UG208BAD021,C23UG208CAP016,C23UG208COM016,C23UG208ACF019,C23UG208CCA020,C23UG208AID016,C23UG208BIC020,,C23UG208CLT018,C23UG208CSC016,,,C23UG208INT019,C23UG208MIB017,C23UG208TFD024,C23UG208VCN031
C23UG208TAM010,,C23UG208BAD022,C23UG208CAP017,C23UG208COM017,C23UG208ACF020,C23UG208CCA021,C23UG208AID018,C23UG208BIC021,,C23UG208CLT019,C23UG208CSC017,,,C23UG208INT020,C23UG208MIB018,C23UG208TFD025,C23UG208VCN033
C23UG208TAM011,,C23UG208BAD023,C23UG208CAP018,C23UG208COM018,C23UG208ACF021,C23UG208CCA022,C23UG208AID019,C23UG208BIC022,,C23UG208CLT020,C23UG208CSC018,,,C23UG208INT021,C23UG208MIB019,C23UG208TFD026,C23UG208VCN034
C23UG208TAM012,,C23UG208BAD024,C23UG208CAP019,C23UG208COM019,C23UG208ACF023,C23UG208CCA023,C23UG208AID020,C23UG208BIC023,,C23UG208CLT021,C23UG208CSC019,,,C23UG208INT024,C23UG208MIB020,,C23UG208VCN037
C23UG208TAM013,,C23UG208BAD025,C23UG208CAP020,C23UG208COM020,C23UG208ACF024,C23UG208CCA024,C23UG208AID021,C23UG208BIC024,,C23UG208CLT022,C23UG208CSC020,,,C23UG208INT025,C23UG208MIB021,,C23UG208VCN038
C23UG208TAM015,,C23UG208BAD026,C23UG208CAP021,C23UG208COM021,,C23UG208CCA025,C23UG208AID022,C23UG208BIC026,,,C23UG208CSC021,,,C23UG208INT026,C23UG208MIB022,,C23UG208VCN039
C23UG208TAM016,,C23UG208BAD027,C23UG208CAP022,C23UG208COM022,,C23UG208CCA026,C23UG208AID023,C23UG208BIC027,,,C23UG208CSC022,,,C23UG208INT027,C23UG208MIB023,,C23UG208VCN040
C23UG208TAM017,,C23UG208BAD028,C23UG208CAP023,C23UG208COM023,,C23UG208CCA027,C23UG208AID024,C23UG208BIC027,,,C23UG208CSC023,,,C23UG208INT028,C23UG208MIB024,,C23UG208VCN041
C23UG208TAM018,,C23UG208BAD029,C23UG208CAP024,C23UG208COM024,,C23UG208CCA028,C23UG208AID025,C23UG208BIC027,,,C23UG208CSC024,,,C23UG208INT029,C23UG208MIB025,,C23UG208VCN043
