B.A TAMIL,B.A ENGLISH,B.B.A,B.C.A,B.Com,B.Com ACCOUNTING AND FINANCE, DEPARTMENT OF COMMERCE IT ,DEPARTEMNT OF COMMERCE PA,B.Com With COMPUTER APPLICATIONS,B.Sc BIOCHEMISTRY,B.Sc COSTUME DESIGN AND FASHION,B.Sc CLINICAL LABORATORY TECHNOLOGY,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),B.Sc COMPUTER SCIENCE,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING, B.Sc COMPUTER SCIENCE (CYBER SECURITY),B.Sc DATA SCIENCE,B.Sc INFORMATION TECHNOLOGY, B.Sc MICROBIOLOGY,B.Sc TEXTILE AND FASHION DESIGNING,B.Sc VISUAL COMMUNICATION,M.Sc MICROBIOLOGY,M.Com,M.Sc COMPUTER SCIENCE,M.A ENGLISH,M.Sc TFD, M.S.W
C25UG208TAM010,C25UG208ENG011,C25UG208BAD010,C25UG208CAP010,C25UG208COM010,C25UG208ACF010,C25UG208CIT010,C25UG208PAC011,C25UG208CCA012,C25UG208BIC010,C25UG208CDF013,C25UG208CLT011,C25UG208AID010,C25UG208CSC011,C25UG208AML010,C25UG208CCS010,C25UG208DAS010,C25UG208INT010,C25UG208MIB010,C25UG208TFD015,C25UG208VCN012,C25PG208MIB010,C25PG208COM011,,,C25PG208TFD010,
C25UG208TAM011,C25UG208ENG012,C25UG208BAD011,C25UG208CAP011,C25UG208COM011,C25UG208ACF011,C25UG208CIT011,C25UG208PAC012,C25UG208CCA013,C25UG208BIC011,C25UG208CDF014,C25UG208CLT012,C25UG208AID012,C25UG208CSC012,C25UG208AML011,C25UG208CCS011,C25UG208DAS011,C25UG208INT011,C25UG208MIB011,C25UG208TFD016,C25UG208VCN013,C25PG208MIB011,C25PG208COM012,,,,
C25UG208TAM012,C25UG208ENG013,C25UG208BAD012,C25UG208CAP012,C25UG208COM012,C25UG208ACF012,C25UG208CIT012,C25UG208PAC013,C25UG208CCA014,C25UG208BIC012,C25UG208CDF015,C25UG208CLT013,C25UG208AID013,C25UG208CSC013,C25UG208AML012,C25UG208CCS012,C25UG208DAS012,C25UG208INT012,C25UG208MIB012,C25UG208TFD017,C25UG208VCN014,C25PG208MIB012,C25PG208COM013,,,,
C25UG208TAM013,C25UG208ENG015,C25UG208BAD013,C25UG208CAP013,C25UG208COM013,C25UG208ACF013,C25UG208CIT013,C25UG208PAC014,C25UG208CCA015,C25UG208BIC013,C25UG208CDF016,C25UG208CLT014,C25UG208AID014,C25UG208CSC014,C25UG208AML013,C25UG208CCS013,C25UG208DAS013,C25UG208INT013,C25UG208MIB013,C25UG208TFD018,C25UG208VCN015,C25PG208MIB013,,,,,
C25UG208TAM014,C25UG208ENG016,C25UG208BAD014,C25UG208CAP014,C25UG208COM014,C25UG208ACF014,C25UG208CIT014,C25UG208PAC016,C25UG208CCA016,C25UG208BIC014,C25UG208CDF017,C25UG208CLT015,C25UG208AID015,C25UG208CSC015,C25UG208AML014,C25UG208CCS014,C25UG208DAS014,C25UG208INT014,C25UG208MIB014,,C25UG208VCN016,C25PG208MIB014,,,,,
C25UG208TAM015,C25UG208ENG017,C25UG208BAD015,C25UG208CAP015,C25UG208COM015,C25UG208ACF015,C25UG208CIT015,C25UG208PAC017,C25UG208CCA017,C25UG208BIC015,C25UG208CDF019,,C25UG208AID016,C25UG208CSC016,C25UG208AML015,C25UG208CCS015,,C25UG208INT015,C25UG208MIB015,,C25UG208VCN017,C25PG208MIB015,,,,,
C25UG208TAM016,,C25UG208BAD016,C25UG208CAP016,C25UG208COM016,C25UG208ACF016,C25UG208CIT016,C25UG208PAC018,C25UG208CCA018,C25UG208BIC016,C25UG208CDF020,,C25UG208AID017,C25UG208CSC017,C25UG208AML016,C25UG208CCS016,,C25UG208INT016,C25UG208MIB016,,C25UG208VCN018,C25PG208MIB016,,,,,
C25UG208TAM017,,C25UG208BAD017,C25UG208CAP017,C25UG208COM017,C25UG208ACF017,C25UG208CIT017,C25UG208PAC019,C25UG208CCA019,C25UG208BIC017,C25UG208CDF021,,C25UG208AID018,C25UG208CSC018,C25UG208AML017,C25UG208CCS018,,C25UG208INT017,C25UG208MIB017,,C25UG208VCN019,C25PG208MIB017,,,,,
C25UG208TAM018,,C25UG208BAD018,C25UG208CAP018,C25UG208COM018,C25UG208ACF018,C25UG208CIT018,C25UG208PAC020,C25UG208CCA020,C25UG208BIC018,C25UG208CDF022,,C25UG208AID019,C25UG208CSC019,C25UG208AML018,C25UG208CCS019,,C25UG208INT018,C25UG208MIB018,,C25UG208VCN020,C25PG208MIB018,,,,,
C25UG208TAM019,,C25UG208BAD019,C25UG208CAP019,C25UG208COM019,C25UG208ACF019,C25UG208CIT019,C25UG208PAC021,C25UG208CCA021,C25UG208BIC019,,,C25UG208AID020,C25UG208CSC020,C25UG208AML019,C25UG208CCS021,,C25UG208INT019,C25UG208MIB019,,C25UG208VCN021,C25PG208MIB019,,,,,
C25UG208TAM021,,C25UG208BAD020,C25UG208CAP020,C25UG208COM020,C25UG208ACF020,C25UG208CIT020,C25UG208PAC022,C25UG208CCA022,C25UG208BIC020,,,C25UG208AID021,C25UG208CSC021,C25UG208AML020,C25UG208CCS022,,C25UG208INT020,C25UG208MIB020,,C25UG208VCN022,C25PG208MIB020,,,,,
C25UG208TAM022,,C25UG208BAD021,C25UG208CAP021,C25UG208COM021,C25UG208ACF021,C25UG208CIT021,C25UG208PAC023,C25UG208CCA023,C25UG208BIC021,,,C25UG208AID022,C25UG208CSC022,C25UG208AML021,C25UG208CCS023,,C25UG208INT021,C25UG208MIB021,,C25UG208VCN023,C25PG208MIB021,,,,,
C25UG208TAM023,,C25UG208BAD022,C25UG208CAP022,C25UG208COM022,C25UG208ACF022,C25UG208CIT022,C25UG208PAC024,C25UG208CCA024,C25UG208BIC022,,,C25UG208AID023,C25UG208CSC023,C25UG208AML022,C25UG208CCS024,,C25UG208INT022,C25UG208MIB022,,C25UG208VCN026,C25PG208MIB022,,,,,
C25UG208TAM024,,C25UG208BAD023,C25UG208CAP023,C25UG208COM023,C25UG208ACF023,C25UG208CIT023,C25UG208PAC025,C25UG208CCA025,,,,C25UG208AID024,C25UG208CSC024,C25UG208AML023,C25UG208CCS025,,C25UG208INT023,C25UG208MIB023,,C25UG208VCN027,C25PG208MIB023,,,,,
