B.A TAMIL,B.B.A,B.C.A,B.Com,B.Com ACCOUNTING AND FINANCE,B.Com With COMPUTER APPLICATIONS,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),B.Sc BIOCHEMISTRY,B.Sc COSTUME DESIGN AND FASHION,B.Sc CLINICAL LABORATORY TECHNOLOGY,B.Sc COMPUTER SCIENCE, B.Sc COMPUTER SCIENCE (CYBER SECURITY),B.Sc DATA SCIENCE,B.Sc INFORMATION TECHNOLOGY, B.Sc MICROBIOLOGY,B.Sc TEXTILE AND FASHION DESIGNING,B.Sc VISUAL COMMUNICATION,M.Sc MICROBIOLOGY,M.Com,M.Sc COMPUTER SCIENCE,M.A ENGLISH
C24UG208TAM017,C24UG208BAD012,C24UG208CAP011,C24UG208COM017,C24UG208ACF015,C24UG208CCA011,C24UG208AID012,,C24UG208CDF020,,C24UG208CSC012,C24UG208CCS016,,C24UG208INT013,C24UG208MIB013,C24UG208TFD014,C24UG208VCN015,C24PG208MIB013,C24PG208COM013,,
C24UG208TAM018,C24UG208BAD013,C24UG208CAP012,C24UG208COM019,C24UG208ACF016,C24UG208CCA012,C24UG208AID013,,C24UG208CDF021,,C24UG208CSC013,C24UG208CCS017,,C24UG208INT014,C24UG208MIB014,C24UG208TFD015,C24UG208VCN017,C24PG208MIB014,C24PG208COM014,,
C24UG208TAM019,C24UG208BAD014,C24UG208CAP013,C24UG208COM020,C24UG208ACF017,C24UG208CCA013,C24UG208AID014,,C24UG208CDF022,,C24UG208CSC014,C24UG208CCS018,,C24UG208INT015,C24UG208MIB015,C24UG208TFD016,C24UG208VCN020,C24PG208MIB015,C24PG208COM016,,
C24UG208TAM020,C24UG208BAD015,C24UG208CAP014,C24UG208COM022,C24UG208ACF018,C24UG208CCA015,C24UG208AID015,,,,C24UG208CSC015,C24UG208CCS019,,C24UG208INT017,C24UG208MIB016,C24UG208TFD017,C24UG208VCN021,C24PG208MIB016,C24PG208COM017,,
C24UG208TAM021,C24UG208BAD017,C24UG208CAP015,C24UG208COM023,C24UG208ACF019,C24UG208CCA016,C24UG208AID016,,,,C24UG208CSC016,C24UG208CCS020,,C24UG208INT019,C24UG208MIB018,C24UG208TFD018,C24UG208VCN022,C24PG208MIB017,C24PG208COM018,,
C24UG208TAM022,C24UG208BAD018,C24UG208CAP016,C24UG208COM024,C24UG208ACF020,C24UG208CCA017,C24UG208AID017,,,,C24UG208CSC018,C24UG208CCS021,,C24UG208INT020,C24UG208MIB019,,C24UG208VCN023,C24PG208MIB018,C24PG208COM019,,
C24UG208TAM023,C24UG208BAD019,C24UG208CAP017,C24UG208COM025,C24UG208ACF021,C24UG208CCA018,C24UG208AID019,,,,C24UG208CSC019,C24UG208CCS022,,C24UG208INT021,C24UG208MIB020,,,C24PG208MIB019,C24PG208COM020,,
C24UG208TAM024,C24UG208BAD020,C24UG208CAP018,C24UG208COM026,C24UG208ACF022,C24UG208CCA019,C24UG208AID020,,,,C24UG208CSC020,,,C24UG208INT022,C24UG208MIB021,,,C24PG208MIB020,C24PG208COM021,,
C24UG208TAM025,C24UG208BAD021,C24UG208CAP019,C24UG208COM027,C24UG208ACF023,C24UG208CCA020,C24UG208AID021,,,,C24UG208CSC021,,,C24UG208INT023,C24UG208MIB022,,,C24PG208MIB021,C24PG208COM022,,
,C24UG208BAD022,C24UG208CAP020,C24UG208COM028,,C24UG208CCA021,C24UG208AID022,,,,C24UG208CSC022,,,C24UG208INT024,C24UG208MIB023,,,C24PG208MIB022,C24PG208COM023,,
