S.NO,YEAR,SEM,PAPER CODE,DEPARTMENT,TITLE OF THE PAPER,STR,EXAM DATE,SESSION
230,II,IV,24UFEN04,B.Sc COMPUTER SCIENCE,GENERAL ENGLISH IV,60,10.02.2026,AN
231,II,IV,23UCS04,B.Sc COMPUTER SCIENCE,JAVA PROGRAMMING,60,11.02.2026,FN
232,II,IV,23UCSSE06,B.Sc COMPUTER SCIENCE,UNDERSTANDING INTERNET,60,11.02.2026,AN
233,II,IV,23UMAA05,B.Sc COMPUTER SCIENCE,INTRODUCTION TO LINEAR ALGEBRA,60,12.02.2026,FN
234,II,IV,23UES01,B.Sc COMPUTER SCIENCE,ENVIRONMENTAL STUDIES,60,13.02.2026,AN
235,III,VI,23UCS08,B.Sc COMPUTER SCIENCE,COMPUTER NETWORKS,60,10.02.2026,FN
236,III,VI,23UCSS014,B.Sc COMPUTER SCIENCE,CLOUD COMPUTING,60,10.02.2026,AN
237,III,VI,23UCSS013,B.Sc COMPUTER SCIENCE,GRID COMPUTING,60,11.02.2026,FN
238,III,VI,23UCS07,B.Sc COMPUTER SCIENCE,NET PROGRAMMING,60,11.02.2026,AN
239,III,VI,23UCSS08,B.Sc COMPUTER SCIENCE,QUANTITATIVE APTITUDE,60,12.02.2026,FN
240,I,II,24UFTA02,B.Sc COMPUTER SCIENCE (CYBER SECURITY),GENERAL TAMIL II,32,10.02.2026,FN
241,I,II,24UFEN02,B.Sc COMPUTER SCIENCE (CYBER SECURITY),GENERAL ENGLISH II,32,10.02.2026,AN
242,I,II,23USE02,B.Sc COMPUTER SCIENCE (CYBER SECURITY),DATA STRUCTURES AND ALGORITHMS,32,11.02.2026,FN
243,I,II,23USES03,B.Sc COMPUTER SCIENCE (CYBER SECURITY),SEC3-WEB DESIGING,32,11.02.2026,AN
244,I,II,23USTA04,B.Sc COMPUTER SCIENCE (CYBER SECURITY),STATISTICAL METHODS AND THIES APPLICATION-II,32,12.02.2026,FN
245,I,II,25UDM01,B.Sc COMPUTER SCIENCE (CYBER SECURITY),DISASTER  - MANAGEMENT,32,13.02.2026,FN
246,I,II,23UCMN02,B.Sc COMPUTER SCIENCE (CYBER SECURITY),SEC2- NMEC II -ADVERTISING,32,13.02.2026,AN
247,II,IV,24UFTA04,B.Sc COMPUTER SCIENCE (CYBER SECURITY),GENERAL TAMIL IV,19,10.02.2026,FN
248,II,IV,24UFEN04,B.Sc COMPUTER SCIENCE (CYBER SECURITY),GENERAL ENGLISH IV,19,10.02.2026,AN
249,II,IV,23USE04,B.Sc COMPUTER SCIENCE (CYBER SECURITY),TOOLS AND TECHNIQUES FOR CYBER SECURITY,19,11.02.2026,FN
250,II,IV,23USES06,B.Sc COMPUTER SCIENCE (CYBER SECURITY),SEC6-UDERSTANDING INTERNET,19,11.02.2026,AN
251,II,IV,23USTA04,B.Sc COMPUTER SCIENCE (CYBER SECURITY),STATISTICAL METHODS AND ITS APPLICATIONS-II,19,12.02.2026,FN
252,II,IV,23UES01,B.Sc COMPUTER SCIENCE (CYBER SECURITY),ENVIRONMENTAL STUDIES,19,13.02.2026,AN
253,III,VI,23USEEC8,B.Sc COMPUTER SCIENCE (CYBER SECURITY),EC8-MOBILE COMPUTING,8,10.02.2026,FN
254,III,VI,23USE08,B.Sc COMPUTER SCIENCE (CYBER SECURITY),NETWORK SECURITY,8,10.02.2026,AN
255,III,VI,23USEE07,B.Sc COMPUTER SCIENCE (CYBER SECURITY),EC7-GRID COMPUTING,8,11.02.2026,FN
256,III,VI,23USE07,B.Sc COMPUTER SCIENCE (CYBER SECURITY),ETHICAL HACKING AND CYBER SECURITY,8,11.02.2026,AN
257,III,VI,23USES08,B.Sc COMPUTER SCIENCE (CYBER SECURITY),SEC8-QUANTITATIVE APTITUDE,8,12.02.2026,FN
258,I,II,24UFTA02,B.Sc DATA SCIENCE,GENERAL TAMIL II,14,10.02.2026,FN
259,I,II,24UFEN02,B.Sc DATA SCIENCE,GENERAL ENGLISH II,14,10.02.2026,AN
260,I,II,23UDS02,B.Sc DATA SCIENCE,DATA STRUCTURES AND ALGORITHMS,14,11.02.2026,FN
261,I,II,23UDSSE01,B.Sc DATA SCIENCE,SEC 3 - INDRODUCTION TO HTML,14,11.02.2026,AN
262,I,II,23USTA04,B.Sc DATA SCIENCE,EC 2 - STATISTICAL METHODS AND THIES APPLICATION-II,14,12.02.2026,FN
263,I,II,25UDM01,B.Sc DATA SCIENCE,DISASTER  - MANAGEMENT,14,13.02.2026,FN
264,I,II,23UCMN02,B.Sc DATA SCIENCE,SEC 2 - NMEC II -ADVERTISING,14,13.02.2026,AN
265,II,IV,24UFTA04,B.Sc DATA SCIENCE,GENERAL TAMIL IV,12,10.02.2026,FN
266,II,IV,24UFEN04,B.Sc DATA SCIENCE,GENERAL ENGLISH IV,12,10.02.2026,AN
267,II,IV,23UDS04,B.Sc DATA SCIENCE,OBJECT ORIENTED PROGRAMMING WITH JAVA,12,11.02.2026,FN
268,II,IV,23UDSSE16,B.Sc DATA SCIENCE,SEC6-WEB TECHNOLOGY,12,11.02.2026,AN
269,II,IV,23USTA04,B.Sc DATA SCIENCE,STATISTICAL METHODS AND ITS APPLICATIONS-II,12,12.02.2026,FN
270,II,IV,23UES01,B.Sc DATA SCIENCE,ENVIRONMENTAL STUDIES,12,13.02.2026,AN
271,III,VI,23UDSEC8,B.Sc DATA SCIENCE,EC8-COMPUTER NETWORKS,9,10.02.2026,FN
272,III,VI,23UDS07,B.Sc DATA SCIENCE,IOT AND CLOUD TECHNIQUES,9,10.02.2026,AN
273,III,VI,23UDSEC7,B.Sc DATA SCIENCE,EC7-GRID COMPUTING,9,11.02.2026,FN
274,III,VI,23UDS08,B.Sc DATA SCIENCE,ARTIFICIAL INTELLIGENCE,9,11.02.2026,AN
275,III,VI,23UDSSE07,B.Sc DATA SCIENCE,SEC8-DATA MINING AND WAREHOUSING,9,12.02.2026,FN
276,I,II,24UFTA02,B.Sc INFORMATION TECHNOLOGY,GENERAL TAMIL II,51,10.02.2026,FN
277,I,II,24UFEN02,B.Sc INFORMATION TECHNOLOGY,GENERAL ENGLISH II,51,10.02.2026,AN
278,I,II,23UIT02,B.Sc INFORMATION TECHNOLOGY,JAVA PROGRAMMING,51,11.02.2026,FN
279,I,II,23UITSE02,B.Sc INFORMATION TECHNOLOGY,SEC2-BASICS OF INTERNET,51,11.02.2026,AN
280,I,II,23USTA04,B.Sc INFORMATION TECHNOLOGY,STATISTICAL METHODS AND ITS APPLICATIONS-II,51,12.02.2026,FN
281,I,II,25UDM01,B.Sc INFORMATION TECHNOLOGY,DISASTER MANAGEMENT ,51,13.02.2026,FN
282,I,II,23UCMN02,B.Sc INFORMATION TECHNOLOGY,NMEC II - ADVERTISING,51,13.02.2026,AN
283,II,IV,24UFTA04,B.Sc INFORMATION TECHNOLOGY,GENERAL TAMIL IV,37,10.02.2026,FN
284,II,IV,24UFEN04,B.Sc INFORMATION TECHNOLOGY,GENERAL ENGLISH IV,37,10.02.2026,AN
285,II,IV,23UIT04,B.Sc INFORMATION TECHNOLOGY,DOT NET,37,11.02.2026,FN
286,II,IV,23UITSE06,B.Sc INFORMATION TECHNOLOGY,SEC6-INTRODUCTION TO HTML,37,11.02.2026,AN
287,II,IV,23UMAA05,B.Sc INFORMATION TECHNOLOGY,INTRODUCTION TO LINEAR ALGEBRA,37,12.02.2026,FN
288,II,IV,23UES01,B.Sc INFORMATION TECHNOLOGY,ENVIRONMENTAL STUDIES,37,13.02.2026,AN
289,III,VI,23UITEC8 ,B.Sc INFORMATION TECHNOLOGY,EC8-TRENDS IN COMPUTING,34,10.02.2026,FN
290,III,VI,23UITSE08,B.Sc INFORMATION TECHNOLOGY,SEC8-SOFTWARE TESTING,34,10.02.2026,AN
291,III,VI,23UITEC7,B.Sc INFORMATION TECHNOLOGY,EC7-GRID COMPUTING,34,11.02.2026,FN
292,III,VI,23UIT08,B.Sc INFORMATION TECHNOLOGY,DATA MINING,34,11.02.2026,AN
293,III,VI,23UITC07,B.Sc INFORMATION TECHNOLOGY,DATA COMMUNICATIONS AND NETWORKING,34,12.02.2026,FN
294,I,II,24UFTA02,B.Sc MICROBIOLOGY,GENERAL TAMIL II,59,10.02.2026,FN
295,I,II,24UFEN02,B.Sc MICROBIOLOGY,GENERAL ENGLISH II,59,10.02.2026,AN
296,I,II,23UMB02,B.Sc MICROBIOLOGY,MICROBIAL PHYSIOLOGY AND METABOLISM,59,11.02.2026,FN
297,I,II,23UMBE02,B.Sc MICROBIOLOGY,BIO-INSTRUMENTATION,59,11.02.2026,AN
298,I,II,23UBON05,B.Sc MICROBIOLOGY,HERBAL MEDICINE ,59,12.02.2026,FN
299,I,II,25UDM01,B.Sc MICROBIOLOGY,DISASTER MANAGEMENT ,59,13.02.2026,FN
300,I,II,23UMBS01,B.Sc MICROBIOLOGY,SERICULTURE ,59,13.02.2026,AN
301,II,IV,24UFTAN04,B.Sc MICROBIOLOGY,GENERAL TAMIL IV,44,10.02.2026,FN
302,II,IV,24UFEN04,B.Sc MICROBIOLOGY,GENERAL ENGLISH IV,44,10.02.2026,AN
303,II,IV,23UMB04,B.Sc MICROBIOLOGY,IMMUNOLOGY AND IMMUNOTECHNOLOGY,44,11.02.2026,FN
304,II,IV,23UMBE04,B.Sc MICROBIOLOGY,FOOD PROCESSING TECHNOLOGY ,44,11.02.2026,AN
305,II,IV,23UMBS03,B.Sc MICROBIOLOGY,VACCINE TECHNOLOGY ,44,12.02.2026,FN
306,II,IV,23UES01,B.Sc MICROBIOLOGY,ENVIRONMENTAL STUDIES ,44,13.02.2026,AN
307,III,VI,23UMB07,B.Sc MICROBIOLOGY,ENVIRONMENTAL AND AGRICULTURE MICROBIOLOGY,80,10.02.2026,FN
308,III,VI,23UMB08,B.Sc MICROBIOLOGY,"FOOD, DAIRY AND PROBIOTIC MICROBIOLOGY",80,10.02.2026,AN
309,III,VI,23UMBE07,B.Sc MICROBIOLOGY,PHARMACEUTICAL MICROBIOLOGY,80,11.02.2026,FN
310,III,VI,23UMBE08,B.Sc MICROBIOLOGY,ENTREPRENEURSHIP AND BIO-BUSINESS,80,11.02.2026,AN
311,III,VI,23UMBPCS,B.Sc MICROBIOLOGY,MICROBIAL QUALITY CONTROL AND TESTING,80,12.02.2026,FN
312,I,II,24UFTA02,B.Sc TEXTILE AND FASHION DESIGNING,GENERAL TAMIL II,13,10.02.2026,FN
313,I,II,24UFEN02,B.Sc TEXTILE AND FASHION DESIGNING,GENERAL ENGLISH II,13,10.02.2026,AN
314,I,II,23UTFDE02 ,B.Sc TEXTILE AND FASHION DESIGNING,CARE AND MAINTENANCE OF TEXTILE,13,11.02.2026,FN
315,I,II,23UTFCT02,B.Sc TEXTILE AND FASHION DESIGNING,WOVEN FABRIC SCIENCE,13,11.02.2026,AN
316,I,II,25UDM01,B.Sc TEXTILE AND FASHION DESIGNING,DISASTER MANAGEMENT ,13,13.02.2026,FN
317,I,II,23UTAN02,B.Sc TEXTILE AND FASHION DESIGNING,PAYANMURAI TAMIL,13,13.02.2026,AN
318,II,IV,24UFTA04,B.Sc TEXTILE AND FASHION DESIGNING,GENERAL TAMIL IV,17,10.02.2026,FN
319,II,IV,24UFEN04 ,B.Sc TEXTILE AND FASHION DESIGNING,GENERAL ENGLISH IV,17,10.02.2026,AN
320,II,IV,23UTFST01,B.Sc TEXTILE AND FASHION DESIGNING,FASHION DESIGNING ,17,11.02.2026,FN
321,II,IV,23UTFCT04,B.Sc TEXTILE AND FASHION DESIGNING,TEXTILE FINISHING ,17,11.02.2026,AN
322,II,IV,23UES01,B.Sc TEXTILE AND FASHION DESIGNING,ENVIRONMENTAL STUDIES ,17,13.02.2026,AN
323,III,VI,23UTFDE07,B.Sc TEXTILE AND FASHION DESIGNING,APPAREL PRODUCTION MANAGEMENT ,19,10.02.2026,FN
324,III,VI,23UTFCT07,B.Sc TEXTILE AND FASHION DESIGNING,TEXTILE TESTING & QUALITY CONTROL,19,10.02.2026,AN
325,III,VI,23UTFDE08,B.Sc TEXTILE AND FASHION DESIGNING,INTERNATIONAL TRADE & DOCUMENTATION,19,11.02.2026,FN
326,I,II,24UFTA02,B.Sc VISUAL COMMUNICATION,GENERAL TAMIL II,21,10.02.2026,FN
327,I,II,24UFEN02,B.Sc VISUAL COMMUNICATION,GENERAL ENGLISH II,21,10.02.2026,AN
328,I,II,23UVC03,B.Sc VISUAL COMMUNICATION,UNDERSTANDING VISUAL COMMUNICATION ,21,11.02.2026,FN
329,I,II,25UDM01,B.Sc VISUAL COMMUNICATION,DISASTER MANAGEMENT,21,13.02.2026,FN
330,I,II,23UTAN02,B.Sc VISUAL COMMUNICATION,PAYANMURAI TAMIL,21,13.02.2026,AN
331,II,IV,23UFTA04,B.Sc VISUAL COMMUNICATION,GENERAL TAMIL IV,18,10.02.2026,FN
332,II,IV,23UFEN04,B.Sc VISUAL COMMUNICATION,GENERAL ENGLISH IV,18,10.02.2026,AN
333,II,IV,23UVC05,B.Sc VISUAL COMMUNICATION,FILM APPRECIATION AND ANALYSIS ,18,11.02.2026,FN
334,II,IV,23UES01,B.Sc VISUAL COMMUNICATION,ENVIRONMENTAL STUDIES,18,13.02.2026,AN
335,III,VI,23UVC08,B.Sc VISUAL COMMUNICATION,MEDIA CULTURE IN TAMIL NADU (THEORY),25,10.02.2026,FN
336,III,VI,23UVC09,B.Sc VISUAL COMMUNICATION,MEDIA ENTREPRENEURSHIP (THEORY),25,10.02.2026,AN
337,III,VI,23UVCS02,B.Sc VISUAL COMMUNICATION,CYBER SECURITY TRAINING FOR MEDIA PROFESSIONALS (THEORY),25,11.02.2026,FN
338,I,II,23PEN04,M.A ENGLISH,AMERICAN LITERATURE,6,10.02.2026,FN
339,I,II,23PEN05,M.A ENGLISH,SHAKESPEARE STUDIES,6,10.02.2026,AN
340,I,II,23PEN06,M.A ENGLISH,POST COLONIAL THEORY AND LITERATURE,6,11.02.2026,FN
341,I,II,23PENE03,M.A ENGLISH,ELECTIVE - APPROACHES TO ENGLISH LANGUAGE TEACHING & ICT,6,11.02.2026,AN
342,I,II,23PENE04,M.A ENGLISH,ELECTIVE - GLIMPSE OF NOBEL LAUREATES,6,12.02.2026,FN
343,I,II,23PCMN02,M.A ENGLISH,NME- BUSINESS COMMUNICATION,6,12.02.2026,AN
344,I,II,23PHR01,M.A ENGLISH,FUNDAMENTALS OF HUMAN RIGHTS,6,13.02.2026,FN
345,II,IV,23PEN11,M.A ENGLISH,TWENTY FIRST CENTURY MILLENNIAL LITERATURE AND CULTURE,7,10.02.2026,FN
346,II,IV,23PEN12,M.A ENGLISH,SUBALTERN STUDIES,7,10.02.2026,AN
347,II,IV,23PEN13,M.A ENGLISH,RESEARCH METHODOLOGY,7,11.02.2026,FN
348,II,IV,23PENE06,M.A ENGLISH,"ENGLISH LITERATURE NTA, NET, SET &GATE",7,11.02.2026,AN
349,II,IV,23PENPR1,M.A ENGLISH,PROJECT WRITING ,7,12.02.2026,FN
350,II,IV,23PENS01,M.A ENGLISH,SEC- ENGLISH FOR CAREERS,7,12.02.2026,AN
351,I,II,23PCM04,M.Com,STRATGIC COST MANGEMENT ,10,10.02.2026,FN
352,I,II,23PCM05,M.Com,CORPORATE ACCOUNTING ,10,10.02.2026,AN
353,I,II,23PCM06,M.Com,SETTING UP OF BUSINESS ENTITIES,10,11.02.2026,FN
354,I,II,23PCME06,M.Com,ELECTIVE III - AUDIT AND DUE DILIGENCE,10,11.02.2026,AN
355,I,II,23PCME07,M.Com,ELECTIVE IV - RURAL AND AGRICULTUAL MARKETING,10,12.02.2026,FN
356,I,II,23PCSN01,M.Com,"NME I - PRINCIPLES OF INFORMATION TECHNOLOGY
",10,12.02.2026,AN
357,I,II,23PHR01,M.Com,FUNDAMENTALS OF HUMAN RIGHTS,10,13.02.2026,FN
358,II,IV,23PCM10,M.Com,CORPORATE AND ECONOMIC LAWS,23,10.02.2026,FN
359,II,IV,23PCM11,M.Com,HUMAN RESOURCE ANALYTICS,23,10.02.2026,AN
360,II,IV,23PCME11,M.Com,ELECTIVE VI - ORGANIZATIONAL BEHAVIOUR,23,11.02.2026,FN
361,I,II,23PCSC06,M.Sc COMPUTER SCIENCE,CORE VI:ADVANCED JAVA PROGRAMMING,15,10.02.2026,FN
362,I,II,23PHR01,M.Sc COMPUTER SCIENCE,FUNDAMENTATS OF HUMAN RIGHTS,15,10.02.2026,AN
363,I,II,23PCSE05,M.Sc COMPUTER SCIENCE,INTERNET OF THINGS,15,11.02.2026,FN
364,I,II,23PCSC05,M.Sc COMPUTER SCIENCE,CORE VI:ADVANCED  OPETATING SYSTEMS,15,11.02.2026,AN
365,I,II,23PCSC04,M.Sc COMPUTER SCIENCE,CORE VI:DATA MINING  AND  WAREHOUSING,15,12.02.2026,FN
366,II,IV,23PCSE09,M.Sc COMPUTER SCIENCE,WEB SERVICES,11,10.02.2026,FN
367,I,II,23PMI03,M.Sc MICROBIOLOGY,MEDICAL BACTERIOLOGY & MYCOLOGY ,32,10.02.2026,FN
368,I,II,23PMI04,M.Sc MICROBIOLOGY,MEDICAL VIROLOGY & PARASITOLOGY ,32,10.02.2026,AN
369,I,II,23PMIE08,M.Sc MICROBIOLOGY,CLINICAL & DIAGNOSTIC MICROBIOLOGY ,32,11.02.2026,FN
370,I,II,23PMIE11,M.Sc MICROBIOLOGY,NANOBIOTECHNOLOGY ,32,11.02.2026,AN
371,I,II,23PBTN01,M.Sc MICROBIOLOGY,GENE MANIPULATION TECHNOLOGY ,32,12.02.2026,FN
372,I,II,23PHR01,M.Sc MICROBIOLOGY,FUNDAMENTALS OF HUMAN RIGHTS ,32,12.02.2026,AN
373,II,IV,23PMI08,M.Sc MICROBIOLOGY,FOOD & DAIRY MICROBIOLOGY,32,10.02.2026,FN
374,II,IV,23PMI09,M.Sc MICROBIOLOGY,RESEARCH METHODOLOGY & BIOSTATISTICS,32,10.02.2026,AN
375,II,IV,23PMIE16 ,M.Sc MICROBIOLOGY,BIOENERGY ,32,11.02.2026,FN
376,II,IV,23PMIS01,M.Sc MICROBIOLOGY,MICROBIAL QUALITY CONTROL AND TESTING,32,11.02.2026,AN
377,I,II,23PSWFP03,M.S.W,CONCURRENT FIELD WORK PRACTICUM - II ,9,10.02.2026,FN
378,I,II,23PSWSTR1,M.S.W,THEATRE FOR TRANSFORMATION ( SEC-1) ,9,10.02.2026,AN
379,I,II,23PHR01,M.S.W,FUNDAMENTALS OF HUMAN RIGHTS ,9,11.02.2026,FN
380,I,II,23PSW04,M.S.W,COMMUNITY ORGANIZATION AND SOCIAL ACTION ,9,11.02.2026,AN
381,I,II,23PSW05,M.S.W,SOCIAL WORK RESEARCH AND STATISTICS ,9,12.02.2026,FN
382,I,II,23PSW06,M.S.W,SOCIAL WELFARE ADMINISTRATION AND SOCIAL LEGISLATIONS ,9,12.02.2026,AN
383,I,II,23PSW07A,M.S.W,HUMAN RESOURCE MANAGEMENT ,9,13.02.2026,FN
384,I,II,23PCMN02,M.S.W,NME - BUSINESS COMMUNICATION ,9,13.02.2026,AN
385,I,II,23PTFCT04 ,M.SC TFD,CORE IV FASHION MERCHANDISING,10,10.02.2026,FN
386,I,II,23PTFCT05 ,M.SC TFD,CORE V TECHNICAL TEXTILES,10,10.02.2026,AN
387,I,II,23PTFCP06,M.SC TFD,CORE VI ADVANCED DRAPING TECHNIQUES PRACTICALS,10,11.02.2026,FN
388,I,II,23PTFDE03,M.SC TFD,"IMPORT EXPORT MANAGEMENT & DOCUMENTATION / 
ENTREPRENEURSHIP DEVELOPMENT IN TEXTILES",10,11.02.2026,AN
389,I,II,23PTFNE01,M.SC TFD,NME-I FINANCIAL MANAGEMENT IN TEXTILES,10,12.02.2026,FN
390,I,II,23PTFVA01,M.SC TFD,VALUE EDUCATION - HUMAN RIGHTS,10,12.02.2026,AN
